               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.051357,            0.030976,            0.047445,             0.86501,             0.77153,             0.85341,             0.39486,            0.037104,            0.024356,            0.017185,           0.0033316,           0.0033316,            0.070016
                   1,            0.042946,            0.025652,            0.021328,             0.89856,             0.83504,              0.9022,             0.44053,            0.035329,            0.023814,            0.011747,            0.006628,            0.006628,            0.039979
                   2,            0.041334,            0.025491,            0.018935,             0.88503,             0.84379,             0.90012,             0.43646,            0.035852,            0.023626,            0.011489,            0.009778,            0.009778,           0.0097958
                   3,            0.039733,             0.02539,            0.017496,             0.91086,             0.87676,             0.92417,             0.46432,             0.03433,            0.023401,           0.0087613,           0.0095095,           0.0095095,           0.0095095
                   4,            0.038676,            0.025079,            0.015501,             0.91509,             0.88349,             0.92891,             0.47086,             0.03432,            0.023043,           0.0080116,           0.0095095,           0.0095095,           0.0095095
                   5,            0.038069,            0.024715,            0.014337,             0.91667,             0.90372,             0.93733,             0.47853,            0.033844,            0.022932,           0.0070914,           0.0091406,           0.0091406,           0.0091406
                   6,            0.037681,            0.024679,            0.013463,              0.9252,             0.90603,             0.94094,             0.48067,            0.033589,            0.022802,           0.0062553,            0.008682,            0.008682,            0.008682
                   7,            0.037166,            0.024546,            0.012988,              0.9209,             0.91406,             0.94171,             0.48671,             0.03355,            0.022735,            0.006257,            0.008145,            0.008145,            0.008145
                   8,            0.036993,            0.024479,            0.012295,             0.93009,             0.90946,              0.9437,              0.4862,            0.033501,            0.022614,           0.0061312,            0.007543,            0.007543,            0.007543
                   9,            0.036526,            0.024271,             0.01166,             0.92925,             0.91784,              0.9486,             0.49056,            0.033296,            0.022577,           0.0058253,           0.0068906,           0.0068906,           0.0068906
                  10,            0.036343,            0.024236,            0.011356,             0.93471,             0.91863,              0.9474,             0.48864,            0.033309,            0.022547,           0.0053448,            0.006204,            0.006204,            0.006204
                  11,            0.036062,            0.024091,            0.011002,              0.9329,             0.92682,             0.95159,             0.49256,            0.033351,            0.022507,           0.0051605,              0.0055,              0.0055,              0.0055
                  12,            0.035846,            0.023979,            0.010573,             0.93961,             0.92192,             0.95238,             0.49436,            0.033226,             0.02242,           0.0050029,            0.004796,            0.004796,            0.004796
                  13,            0.035579,            0.023844,           0.0099433,             0.93807,              0.9233,             0.95242,             0.49711,            0.033103,            0.022414,           0.0048768,           0.0041094,           0.0041094,           0.0041094
                  14,            0.035394,            0.023842,           0.0096927,             0.93359,             0.92894,             0.95412,             0.49722,            0.033091,            0.022367,            0.004754,            0.003457,            0.003457,            0.003457
                  15,            0.035006,             0.02356,           0.0092281,             0.93651,             0.93243,              0.9555,             0.49879,             0.03306,            0.022323,           0.0048868,            0.002855,            0.002855,            0.002855
                  16,            0.034833,            0.023702,           0.0090421,             0.93373,             0.93347,             0.95496,             0.49952,            0.033042,            0.022324,            0.004869,            0.002318,            0.002318,            0.002318
                  17,            0.034683,            0.023468,           0.0087052,             0.93924,             0.93126,             0.95565,              0.5009,            0.033034,              0.0223,           0.0050745,           0.0018594,           0.0018594,           0.0018594
                  18,            0.034437,            0.023345,           0.0085338,             0.93623,             0.93453,             0.95576,             0.50135,            0.033008,            0.022306,           0.0049099,           0.0014905,           0.0014905,           0.0014905
                  19,            0.034363,            0.023404,           0.0081579,             0.93468,             0.93587,             0.95454,              0.5019,            0.033015,            0.022272,           0.0048363,           0.0012202,           0.0012202,           0.0012202
